"Player","Salary (mils)","College (in US)","Position","Team","Games Played","Age","Free Throw %","3 Point %","True Shootings %"
"Cameron Johnson",5.887899,"North Carolina","PF","TOT",42,26,0.842,0.404,0.617
"Pat Connaughton",5.728393,"Notre Dame","SF","MIL",61,30,0.659,0.339,0.531
"Kevin Love",30.556968,"UCLA","PF","TOT",62,34,0.879,0.334,0.548
"Anthony Gill",1.83609,"Virginia","PF","WAS",59,30,0.731,0.138,0.604
"Keita Bates-Diop",1.87872,"Ohio State","PF","SAS",67,27,0.793,0.394,0.609
"KZ Okpala",1.902133,"Stanford","PF","SAC",35,23,0.875,0.333,0.554
"Buddy Hield",21.17775,"Syracuse","SF","IND",80,30,0.822,0.425,0.614
"Dalano Banton",1.563518,"Nebraska","PG","TOR",31,23,0.708,0.294,0.505
"Tyrese Maxey",2.72688,"Kentucky","SG","PHI",60,22,0.845,0.434,0.605
"Serge Ibaka",2.905851,"None","C","MIL",16,33,0.615,0.333,0.553
"Vit Krejci",1.563518,"None","PG","ATL",29,22,0.5,0.238,0.475
"Jaden Ivey",7.2522,"Purdue","SG","DET",74,20,0.747,0.343,0.528
"JD Davison",0.508891,"Alabama","SG","BOS",12,20,0.5,0.286,0.478
"Markelle Fultz",16.5,"Washington","PG","ORL",60,24,0.783,0.31,0.564
"Jonathan Isaac",17.4,"Florida State","PF","ORL",11,25,0.556,0.4,0.483
"Cade Cunningham",10.5528,"Oklahoma State","PG","DET",12,21,0.837,0.279,0.492
"Jaden Hardy",1.017781,"None","SG","DAL",48,20,0.823,0.404,0.571
"Luka Garza",0.508891,"Iowa","C","MIN",28,24,0.788,0.359,0.652
"Bennedict Mathurin",6.5868,"Arizona","SG","IND",78,20,0.828,0.323,0.566
"Ousmane Dieng",4.56984,"None","PF","OKC",39,19,0.652,0.265,0.505
"Jordan Hall",0.193027,"St. Joseph's (PA)","SF","SAS",9,21,0.778,0.2,0.438
"Shaquille Harrison",0.134862,"Tulsa","SG","POR",5,29,0.733,0.3,0.516
"Ja Morant",12.11944,"Murray State","PG","MEM",61,23,0.748,0.307,0.557
"Joe Ingles",6.479,"None","SF","MIL",46,35,0.857,0.409,0.616
"De'Aaron Fox",30.35178,"Kentucky","PG","SAC",73,25,0.78,0.324,0.599
"Frank Ntilikina",2.036318,"None","SG","DAL",47,24,0.667,0.254,0.461
"James Harden",33,"Arizona State","PG","PHI",58,33,0.867,0.385,0.607
"Justin Holiday",5.987975,"Washington","SF","TOT",46,33,0.625,0.322,0.494
"RaiQuan Gray",0.005849,"Florida State","PF","BRK",1,23,1,0.4,0.621
"Gary Payton II",8.3,"Oregon State","SG","TOT",22,30,0.857,0.5,0.701
"Donte DiVincenzo",4.5,"Villanova","SG","GSW",72,26,0.817,0.397,0.593
"Alex Len",3.9186,"Maryland","C","SAC",26,29,0.688,0,0.58
"Udonis Haslem",2.905851,"Florida","C","MIA",7,42,0.8,0.333,0.433
"Eugene Omoruyi",1.013119,"Oregon","SF","TOT",40,25,0.68,0.281,0.533
"Jeff Dowtin",0.508891,"Rhode Island","PG","TOR",25,25,0.667,0.313,0.5
"Isaiah Livers",1.563518,"Michigan","PF","DET",52,24,0.821,0.365,0.567
"Rodney McGruder",2.298385,"Kansas State","SG","DET",32,31,0.818,0.423,0.566
"Chris Duarte",3.93696,"Oregon","SF","IND",46,25,0.847,0.316,0.496
"Skylar Mays",0.116574,"Louisiana State","PG","POR",6,25,0.923,0.462,0.624
"Kevin Durant",44.119845,"Texas","PF","TOT",47,34,0.919,0.404,0.677
"Mac McClung",0.160856,"Texas Tech","SG","PHI",2,24,0.6,0.364,0.563
"Theo Pinson",1.968175,"North Carolina","SG","DAL",40,27,0.846,0.355,0.512
"Dillon Brooks",11.4,"Oregon","SF","MEM",73,27,0.779,0.326,0.494
"Dejounte Murray",17.07112,"Washington","SG","ATL",74,26,0.832,0.344,0.54
"JaVale McGee",5.461219,"Nevada","C","DAL",42,35,0.585,0.4,0.65
"Jordan Goodwin",1.280206,"St. Louis","PG","WAS",62,24,0.768,0.322,0.531
"Nicolas Batum",19.700319,"None","PF","LAC",78,34,0.708,0.391,0.594
"Christian Braun",2.8086,"Kansas","SG","DEN",76,21,0.625,0.354,0.568
